"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Lazy Galaxy: Rebel Story","0","0","7","0","1.89","1.89","0.27","N/A","0.0","0.00","0.00","1","0.23","2018-08-15","533050"
"Catch & Release","0","0","6","0","3.74","3.74","0.62","N/A","0.0","0.00","0.00","5","1.62","2018-08-14","679750"
"We Happy Few","0","0","5","0","0.56","0.56","0.11","0.14","-27.3","0.00","0.00","83","0.29","2018-08-14","320240"
"Hexaball","0","0","5","0","0.31","0.31","0.06","N/A","0.0","0.00","0.00","60","0.16","2018-08-14","602830"
"Steven Universe: Save the Light","0","0","6","0","4.28","4.28","0.71","1.73","-143.7","0.00","0.00","18","1.85","2018-08-13","821890"
"Far Cry 5","0","0","6","0","0.80","0.80","0.13","0.08","38.5","6.39","10.13","311","0.34","2018-08-13","552520"
"Sword Legacy Omen","0","0","8","0","1.79","1.79","0.22","N/A","0.0","0.00","0.00","14","0.77","2018-08-13","690140"
"Death's Gambit","0","0","8","0","1.29","1.29","0.16","1.25","-681.3","0.00","0.00","30","0.56","2018-08-13","356650"
"The Sand Man","0","0","9","0","1.56","1.56","0.17","N/A","0.0","0.00","0.00","17","0.74","2018-08-13","741250"
"MONSTER HUNTER: WORLD","0","0","10","0","2.77","2.77","0.28","0.25","10.7","4.16","6.42","218","1.22","2018-08-10","582010"
"Graveyard Keeper","0","0","9","0","2.25","2.25","0.25","0.20","20.0","0.00","0.00","11","1.09","2018-08-09","599140"
"Existence speed","0","0","5","0","0.27","0.27","0.05","8.59","-17,080.0","1.16","1.16","215","0.13","2018-08-09","537280"
"The Banner Saga 3","0","0","9","0","0.98","0.98","0.11","0.10","9.1","1.00","1.48","53","0.48","2018-08-08","485460"
"The Bard's Tale Trilogy","0","0","5","0","0.67","0.67","0.13","N/A","0.0","0.00","0.00","15","0.34","2018-08-08","843260"
"Circle Empires","0","0","5","0","0.60","0.60","0.12","0.38","-216.7","0.00","0.00","39","0.31","2018-08-08","834740"
"Guacamelee! 2","0","0","8","0","5.93","5.93","0.74","N/A","0.0","0.00","0.00","2","2.57","2018-08-08","534550"
"Farm Together","0","0","9","0","0.67","0.67","0.07","0.08","-14.3","0.58","0.42","63","0.30","2018-08-08","673950"
"Doctor Who Infinity","0","0","13","0","7.27","7.27","0.56","0.40","28.6","0.00","0.00","13","3.41","2018-08-08","725370"
"A Light in the Dark","0","0","5","0","1.38","1.38","0.28","0.32","-14.3","3.38","6.52","80","0.73","2018-08-08","766280"
"Warmonger","0","0","6","0","3.61","3.61","0.60","0.28","53.3","2.72","4.40","6","1.57","2018-08-07","718790"
"Overcooked! 2","0","0","15","0","1.23","1.23","0.08","0.15","-87.5","0.00","0.00","78","0.56","2018-08-07","728880"
"Shooty Fruity","0","0","5","0","0.67","0.67","0.13","66.67","-51,184.6","0.00","0.00","24","0.34","2018-08-07","666100"
"State of Mind","0","0","9","0","1.36","1.36","0.15","N/A","0.0","0.00","0.00","7","0.52","2018-08-07","437630"
"Dark Forester","0","0","5","0","1.22","1.22","0.24","0.43","-79.2","0.00","0.00","9","0.63","2018-08-07","349450"
"MU Legend","0","0","13","0","3.08","3.08","0.24","0.17","29.2","0.00","0.27","11","1.46","2018-08-07","874240"
"Flipping Death","0","0","7","0","1.13","1.13","0.16","N/A","0.0","0.00","0.00","8","0.56","2018-08-06","626660"
"Pool Panic","0","0","8","0","0.85","0.85","0.11","N/A","0.0","0.00","0.00","8","0.38","2018-08-06","522240"
"Realpolitiks","0","0","5","0","0.42","0.42","0.08","0.35","-337.5","9.18","2.11","41","0.21","2018-08-06","553260"
"Immortal: Unchained","0","0","6","0","9.51","9.51","1.58","N/A","0.0","0.00","0.00","2","2.75","2018-08-06","369440"
"Hunt: Showdown","0","0","6","0","0.98","0.98","0.16","0.20","-25.0","0.61","0.92","158","0.42","2018-08-06","594650"
"Timber Tennis","0","0","6","0","12.05","12.05","2.01","N/A","0.0","0.00","0.00","3","5.24","2018-08-06","321160"
"Warfront Defenders: Westerplatte","0","0","5","0","0.26","0.26","0.05","0.05","0.0","0.03","0.03","572","0.13","2018-08-02","412210"
"PC Building Simulator","0","0","8","0","0.73","0.73","0.09","0.07","22.2","0.83","0.16","92","0.31","2018-08-02","621060"
"This Is the Police 2","0","0","5","0","0.52","0.52","0.10","0.10","0.0","0.35","0.60","70","0.26","2018-08-02","785740"
"SaGa Scarlet Grace","0","0","6","0","7.36","7.36","1.23","N/A","0.0","0.00","0.00","5","3.21","2018-08-02","686720"
"Yakuza 0","0","0","10","0","1.93","1.93","0.19","0.19","0.0","0.14","1.37","79","0.83","2018-08-01","638970"
"Vanilla Bagel: The Roguelike","0","0","5","0","0.43","0.43","0.09","0.37","-311.1","0.86","0.50","32","0.23","2018-08-01","491510"
"Purgatory II","0","0","5","0","0.26","0.26","0.05","0.05","0.0","0.06","0.03","717","0.13","2018-07-31","576120"
"Skirmish Line","0","0","15","0","1.84","1.84","0.12","N/A","0.0","0.00","0.00","10","0.83","2018-07-31","666820"
"Prime Mover","0","0","7","0","0.81","0.81","0.12","3.99","-3,225.0","0.00","0.00","16","0.42","2018-07-31","693700"
"Adventure of a Lifetime","0","0","5","0","1.34","1.34","0.27","0.31","-14.8","0.52","3.58","45","0.70","2018-07-31","820730"
"Dungeon Girl","0","0","6","0","1.53","1.53","0.26","0.48","-84.6","15.00","12.76","15","0.68","2018-07-30","494090"
"ZIQ","0","0","6","0","3.35","3.35","0.56","N/A","0.0","0.00","0.00","2","1.46","2018-07-28","538900"
"Ys: Memories of Celceta","0","0","8","0","1.09","1.09","0.14","0.35","-150.0","1.64","3.50","28","0.49","2018-07-28","587110"
"Evil Labs","0","0","6","0","0.66","0.66","0.11","N/A","0.0","0.71","1.44","19","0.29","2018-07-27","680860"
"Mosaics Galore","0","0","9","0","0.61","0.61","0.07","0.50","-614.3","0.57","0.53","41","0.30","2018-07-27","567150"
"Hentai","0","0","5","0","1.70","1.70","0.34","0.33","2.9","1.96","0.18","37","0.89","2018-07-27","704550"
"Swarmlake","0","0","5","0","0.46","0.46","0.09","0.07","22.2","0.90","0.23","42","0.23","2018-07-27","793350"
"Mary Skelter: Nightmares","0","0","10","0","1.33","1.33","0.13","0.21","-61.5","1.66","4.44","57","0.57","2018-07-27","837610"
"NEKOPARA Extra","0","0","8","0","1.23","1.23","0.15","0.14","6.7","0.26","0.99","184","0.52","2018-07-27","899970"
"NEKOPARA OVA Extra","0","0","8","0","1.26","1.26","0.16","0.16","0.0","0.57","1.37","77","0.56","2018-07-27","746650"
"Treasure Hunter Claire","0","0","5","0","1.71","1.71","0.34","0.32","5.9","3.16","10.40","56","0.89","2018-07-27","828070"
"Element","0","0","15","0","2.72","2.72","0.18","N/A","0.0","0.00","0.00","6","1.25","2018-07-27","422300"
"Bastard","0","0","7","0","0.58","0.58","0.08","0.42","-425.0","0.51","1.27","29","0.28","2018-07-26","846200"
"The Lost Island","0","0","6","0","0.38","0.38","0.06","0.06","0.0","0.83","0.95","47","0.16","2018-07-24","416260"
"StratoBash","0","0","5","0","0.74","0.74","0.15","N/A","0.0","0.44","1.61","7","0.39","2018-07-24","615550"
"Headsnatchers","0","0","5","0","0.78","0.78","0.16","N/A","0.0","0.00","0.00","5","0.42","2018-07-24","797410"
"Zone of Lacryma","0","0","6","0","3.00","3.00","0.50","N/A","0.0","0.00","0.00","4","1.30","2018-07-24","496540"
"Fantasia of the Wind - 风之幻想曲","0","0","8","0","1.39","1.39","0.17","0.17","0.0","0.08","2.66","60","0.59","2018-07-24","645690"
"Graceful Explosion Machine","0","0","5","0","0.91","0.91","0.18","N/A","0.0","0.00","0.00","7","0.47","2018-07-23","575450"
"Runner3","0","0","14","0","1.27","1.27","0.09","0.12","-33.3","1.39","0.46","21","0.55","2018-07-23","516130"
"TY the Tasmanian Tiger 3","0","0","7","0","1.61","1.61","0.23","N/A","0.0","6.72","1.45","14","0.80","2018-07-22","411980"
"Mega Man X Legacy Collection / ROCKMAN X ANNIVERSARY COLLECTION","0","0","6","0","1.59","1.59","0.27","0.25","7.4","0.55","3.85","67","0.70","2018-07-22","743890"
"GearCity","0","0","12","0","0.52","0.52","0.04","0.32","-700.0","0.54","0.20","59","0.21","2018-07-21","285110"
"Idle Dungeons","0","0","5","0","5.31","5.31","1.06","N/A","0.0","0.00","0.00","6","2.77","2018-07-20","884090"
"Wonderful Everyday Down the Rabbit-Hole","0","0","8","0","1.42","1.42","0.18","0.23","-27.8","0.65","2.41","71","0.63","2018-07-20","658620"
"Legend Of Mercy 神医魔导","0","0","15","0","2.50","2.50","0.17","0.28","-64.7","6.84","1.69","25","1.18","2018-07-20","676090"
"Ganbare! Super Strikers","0","0","14","0","3.18","3.18","0.23","N/A","0.0","0.00","0.00","6","1.40","2018-07-19","419990"
"Mega Man X Legacy Collection 2 / ROCKMAN X ANNIVERSARY COLLECTION 2","0","0","6","0","1.68","1.68","0.28","0.30","-7.1","1.11","1.82","57","0.73","2018-07-19","743900"
"Mad Crown","0","0","9","0","2.11","2.11","0.23","N/A","0.0","0.17","1.67","5","1.00","2018-07-19","689700"
"The Spiral Scouts","0","0","8","0","3.08","3.08","0.39","0.87","-123.1","1.60","6.90","16","1.36","2018-07-18","862480"
"Out of The Box","0","0","7","0","1.27","1.27","0.18","0.17","5.6","1.26","6.55","29","0.63","2018-07-18","576960"
